train\1\Im_B0\1.jpg ['0.2091203220', '12.6991097200', '0.0220812510', '4.4780905300', '0.0014995780', '-2.4168324420', '48.6404901700', '-3.3573481390'] 0.01121538108888889
train\31\Im_B30\47.jpg ['0.5414516970', '10.5722398900', '0.0605508010', '4.3558080790', '0.0592384070', '-2.6490121520', '24.7679466000', '-3.9432209880'] 0.0579079881
train\31\Im_B30\48.jpg ['0.6315975930', '10.5656204800', '0.0609937090', '4.3813908610', '0.0588304700', '-2.6173829780', '24.2429963200', '-3.9188880500'] 0.0579079881
train\31\Im_B30\49.jpg ['0.6864066670', '10.5590026700', '0.0614117350', '4.4066660240', '0.0583185510', '-2.5858014980', '23.7184677300', '-3.8940437000'] 0.0579079881
train\31\Im_B30\50.jpg ['0.7103239860', '10.5523867900', '0.0623611370', '4.4290390670', '0.0579373760', '-2.5551134740', '23.1942918500', '-3.8691522540'] 0.0579079881
train\31\Im_B30\51.jpg ['0.7137800790', '10.5457730100', '0.0634874080', '4.4505751310', '0.0577461290', '-2.5254170740', '22.6704376200', '-3.8444087210'] 0.0579079881
train\31\Im_B30\52.jpg ['0.7075991990', '10.5391613800', '0.0647406480', '4.4717104680', '0.0576661520', '-2.4963293930', '22.1469011500', '-3.8198243580'] 0.059891660944444446
train\31\Im_B30\53.jpg ['0.6997314830', '10.5325518700', '0.0660369200', '4.4930052170', '0.0577043960', '-2.4678264770', '21.6236958600', '-3.7952986330'] 0.07377737086666666
train\31\Im_B30\54.jpg ['0.6953913100', '10.5259445400', '0.0672646080', '4.5150976880', '0.0578615560', '-2.4398742910', '21.1008717500', '-3.7704913290'] 0.09376668955555556
train\31\Im_B30\55.jpg ['0.7060833740', '10.5193401300', '0.0682887190', '4.5386088020', '0.0581261760', '-2.4124492610', '20.5785651000', '-3.7445105160'] 0.10841535057777778
train\31\Im_B30\56.jpg ['0.7592508670', '10.5127396800', '0.0661944100', '4.5853208790', '0.0584603340', '-2.3855732570', '20.0569584700', '-3.7162110970'] 0.11406118866666666
train\31\Im_B30\57.jpg ['0.8703555140', '10.5061433600', '0.0639139250', '4.6293208820', '0.0588093120', '-2.3592799700', '19.5361696100', '-3.6849125490'] 0.11467154955555554
train\31\Im_B30\58.jpg ['1.0203907420', '10.4995498900', '0.0615598660', '4.6719521270', '0.0591302850', '-2.3335524110', '19.0161858800', '-3.6507665620'] 0.11680781266666666
train\31\Im_B30\59.jpg ['1.1692869310', '10.4929574600', '0.0602058480', '4.7073190920', '0.0594193870', '-2.3083291940', '18.4968955600', '-3.6145051390'] 0.12855725944444443
train\31\Im_B30\60.jpg ['1.2857120960', '10.4863655500', '0.0590071510', '4.7403073320', '0.0596619420', '-2.2834119150', '17.9781850300', '-3.5768210130'] 0.14030670633333334
train\31\Im_B30\61.jpg ['1.3683705960', '10.4797758200', '0.0580375910', '4.7707128760', '0.0598676290', '-2.2586807570', '17.4600234600', '-3.5378759510'] 0.14991989011111112
train\31\Im_B30\62.jpg ['1.4434298730', '10.4731898200', '0.0573509620', '4.7982798150', '0.0600055230', '-2.2340256370', '16.9424361100', '-3.4975062320'] 0.15358205544444445
train\31\Im_B30\63.jpg ['1.5288988650', '10.4666075200', '0.0569850040', '4.8227639900', '0.0600234390', '-2.2093493470', '16.4254474000', '-3.4555723240'] 0.1560234988888889
train\31\Im_B30\64.jpg ['1.6247503020', '10.4600275100', '0.0569739220', '4.8439874250', '0.0598666350', '-2.1845606540', '15.9090371800', '-3.4121993680'] 0.1561760891111111
train\31\Im_B30\65.jpg ['1.7162279550', '10.4534484100', '0.0573565630', '4.8618867020', '0.0569436030', '-2.1463719690', '15.3931491200', '-3.3677026540'] 0.1561760891111111
train\31\Im_B30\66.jpg ['1.7908502130', '10.4468696200', '0.0581663230', '4.8765397470', '0.0553365500', '-2.1156752210', '14.8777077900', '-3.3224791970'] 0.1561760891111111
train\31\Im_B30\67.jpg ['1.8410997060', '10.4402913300', '0.0594306110', '4.8881724680', '0.0537954840', '-2.0862287220', '14.3626433200', '-3.2768672050'] 0.1561760891111111
train\31\Im_B30\68.jpg ['1.8676777830', '10.4337141800', '0.0610878210', '4.8973777800', '0.0523648480', '-2.0580710980', '13.8479065800', '-3.2310704420'] 0.1561760891111111
train\31\Im_B30\69.jpg ['1.8766403060', '10.4271387300', '0.0630494350', '4.9050066370', '0.0510469250', '-2.0311451490', '13.3334720400', '-3.1851519010'] 0.1561760891111111
train\31\Im_B30\70.jpg ['1.8754724660', '10.4205652700', '0.0651255850', '4.9123231610', '0.0498789530', '-2.0054942520', '12.8193331600', '-3.1390649090'] 0.1561760891111111
train\31\Im_B30\71.jpg ['1.8704767000', '10.4139938700', '0.0670473790', '4.9208909160', '0.0488791260', '-1.9811218860', '12.3054949600', '-3.0926943060'] 0.1561760891111111
train\31\Im_B30\72.jpg ['1.8656180710', '10.4074244800', '0.0684909180', '4.9323986740', '0.0480627380', '-1.9580245680', '11.7919671500', '-3.0458901100'] 0.1561760891111111
train\31\Im_B30\73.jpg ['1.8625437370', '10.4008570700', '0.0489379660', '5.0703235180', '0.0474422130', '-1.9361840700', '11.2787597600', '-2.9984863220'] 0.1561760891111111
train\31\Im_B30\74.jpg ['1.8612799770', '10.3942916500', '0.0445797960', '5.1186721410', '0.0470279100', '-1.9155646800', '10.7658812100', '-2.9503054450'] 0.1561760891111111
train\31\Im_B30\75.jpg ['1.8610997100', '10.3877282500', '0.0403717860', '5.1647548250', '0.0468280060', '-1.8961098840', '10.2533384900', '-2.9011532950'] 0.1561760891111111
train\31\Im_B30\76.jpg ['1.8612068650', '10.3811669100', '0.0363615690', '5.2082979910', '0.0468465950', '-1.8777357120', '9.7411380690', '-2.8508092100'] 0.1561760891111111
train\31\Im_B30\77.jpg ['1.8610952230', '10.3746076800', '0.0326232330', '5.2489357230', '0.0470803910', '-1.8603221990', '9.2292870840', '-2.7990151070'] 0.16227969788888888
train\31\Im_B30\78.jpg ['1.8606129170', '10.3680505600', '0.0291824550', '5.2864422980', '0.0475172140', '-1.8437156060', '8.7178017290', '-2.7454302250'] 0.2140077821111111
train\31\Im_B30\79.jpg ['1.8632388090', '10.3614964900', '0.0261433750', '5.3203059350', '0.0481206940', '-1.8276970760', '8.2067818180', '-2.6892994520'] 0.27718013277777775
train\31\Im_B30\80.jpg ['1.9063945360', '10.3549533800', '0.0235734410', '5.3499087750', '0.0488004800', '-1.8120791360', '7.6965391460', '-2.6289441590'] 0.3144121462222222
train\31\Im_B30\81.jpg ['2.0902980350', '10.3484307300', '0.0214694410', '5.3743328660', '0.0493564190', '-1.7968488140', '7.1874452760', '-2.5624999100'] 0.3263141832222222
train\31\Im_B30\82.jpg ['2.4540305710', '10.3419278400', '0.0197891570', '5.3926927950', '0.0495323590', '-1.7820276440', '6.6796622540', '-2.4889665180'] 0.32646677344444447
train\31\Im_B30\83.jpg ['2.9172242220', '10.3354308500', '0.0185386990', '5.4044725870', '0.0491244290', '-1.7675122950', '6.1730593320', '-2.4083465260'] 0.3330281528888889
train\31\Im_B30\84.jpg ['3.3537111260', '10.3289240800', '0.0178103940', '5.4095551460', '0.0480359860', '-1.7531154580', '5.6673305430', '-2.3210122510'] 0.36202029444444445
train\31\Im_B30\85.jpg ['3.6790966310', '10.3224051600', '0.0177468990', '5.4080958880', '0.0349808730', '-1.6932227020', '5.1621940970', '-2.2268673600'] 0.3925383383333333
train\31\Im_B30\86.jpg ['3.8977428530', '10.3158878900', '0.0184489170', '5.4004351640', '0.0310521530', '-1.6710735070', '4.7503835160', '-2.1672311920'] 0.3949797817777778
train\31\Im_B30\87.jpg ['4.0831362500', '10.3093845000', '0.0198767760', '5.3872119090', '0.0271004250', '-1.6514331120', '4.4257704200', '-2.1453548440'] 0.3949797817777778
train\31\Im_B30\88.jpg ['4.2783063770', '10.3028872800', '0.0218267050', '5.3697278810', '0.0231369230', '-1.6344746410', '4.0988775350', '-2.1227378640'] 0.3949797817777778
train\31\Im_B30\89.jpg ['4.4530429150', '10.2963833500', '0.0239871220', '5.3500206530', '0.0192026020', '-1.6202570220', '3.7701352640', '-2.0998272240'] 0.4041351948888889
train\31\Im_B30\90.jpg ['4.5824905540', '10.2898693600', '0.0259470380', '5.3306199620', '0.0153631270', '-1.6088016590', '3.4399380310', '-2.0770170620'] 0.4311436636666667
train\31\Im_B30\91.jpg ['4.6672342890', '10.2833515200', '0.0272218910', '5.3141646790', '0.0116880870', '-1.6001428930', '3.1086450620', '-2.0544334300'] 0.44213015944444445
train\31\Im_B30\92.jpg ['4.7427180600', '10.2768435800', '0.0182788710', '5.3565240310', '0.0082209160', '-1.5943868690', '2.7766188310', '-2.0319276240'] 0.44213015944444445
train\31\Im_B30\93.jpg ['4.8547624460', '10.2703467700', '0.0139679270', '5.3683811810', '0.0049700930', '-1.5917114870', '2.4442531790', '-2.0094762020'] 0.44213015944444445
train\31\Im_B30\94.jpg ['4.9890487350', '10.2638495500', '0.0101133620', '5.3748255510', '0.0019622960', '-1.5922311320', '2.1119313050', '-1.9872724170'] 0.44213015944444445
train\31\Im_B30\95.jpg ['5.1075548680', '10.2573452200', '0.0067759300', '5.3758258710', '-0.0007386970', '-1.5959839620', '1.7799981060', '-1.9655698680'] 0.44213015944444445
train\31\Im_B30\96.jpg ['5.1904865070', '10.2508346000', '0.0040164780', '5.3714829650', '-0.0030527530', '-1.6029587520', '1.4487618210', '-1.9445651150'] 0.44213015944444445
train\31\Im_B30\97.jpg ['5.2358397820', '10.2443210800', '0.0018646510', '5.3621096640', '-0.0049076870', '-1.6130795310', '1.1185086800', '-1.9243379770'] 0.44213015944444445
train\32\Im_B31\1.jpg ['1.1250373560', '10.5820273900', '0.0724418680', '1.8421621740', '0.0546062930', '-5.0699321560', '49.6151194300', '-3.6076984700'] 0.1378652628888889
train\32\Im_B31\2.jpg ['1.3105425500', '10.5754123400', '0.0717101270', '1.8735387590', '0.0528105400', '-5.0321902780', '49.0912808500', '-3.5387000000'] 0.13771267266666667
train\32\Im_B31\3.jpg ['1.4677978960', '10.5687977700', '0.0707244620', '1.9045102670', '0.0508989900', '-4.9954803140', '48.5680197700', '-3.4653288890'] 0.13130388344444444
train\32\Im_B31\4.jpg ['1.5789087590', '10.5621827200', '0.0695081540', '1.9351683040', '0.0491211900', '-4.9622022800', '48.0451661800', '-3.3899703970'] 0.11497673
train\32\Im_B31\5.jpg ['1.6392171950', '10.5555669200', '0.0680960010', '1.9655871910', '0.0471245820', '-4.9276028670', '47.5225407700', '-3.3152797820'] 0.09559777217777779
train\32\Im_B31\6.jpg ['1.6409223960', '10.5489495600', '0.0666869730', '1.9938392360', '0.0451763820', '-4.8942123700', '46.9999455600', '-3.2443629930'] 0.08003356984444444
train\32\Im_B31\7.jpg ['1.5718805610', '10.5423307200', '0.0650961700', '2.0239502590', '0.0433456290', '-4.8619948700', '46.4772100100', '-3.1800564070'] 0.06981002517777778
train\32\Im_B31\8.jpg ['1.4359806280', '10.5357123800', '0.0634803290', '2.0541448880', '0.0416965660', '-4.8308864280', '45.9542485400', '-3.1239517100'] 0.05424582284444445
train\32\Im_B31\9.jpg ['1.2599147090', '10.5290968500', '0.0618824670', '2.0844894930', '0.0402685920', '-4.8008272900', '45.4310620900', '-3.0762777280'] 0.028610666055555553
train\32\Im_B31\10.jpg ['1.0744290600', '10.5224845000', '0.0603204200', '2.1150138660', '0.0390728180', '-4.7717619250', '44.9076592700', '-3.0371086870'] -0.004196231022222222
train\32\Im_B31\11.jpg ['0.8831153600', '10.5158743600', '0.0588101700', '2.1457702590', '0.0381161760', '-4.7435966820', '44.3839887600', '-3.0074309140'] -0.03334096284444445
train\32\Im_B31\12.jpg ['0.6641120250', '10.5092663200', '0.0573876550', '2.1768670890', '0.0374240010', '-4.7161799360', '43.8599455300', '-2.9890088670'] -0.057297627222222224
train\32\Im_B31\13.jpg ['0.3975567420', '10.5026621200', '0.0561065040', '2.2084484810', '0.0370383520', '-4.6893240150', '43.3354398000', '-2.9832171300'] -0.07850766765555556
train\32\Im_B31\14.jpg ['0.0910917760', '10.4960634400', '0.0546362110', '2.2420847560', '0.0362241030', '-4.6566040320', '42.8104386100', '-2.9903463540'] -0.09681849393333333
train\32\Im_B31\15.jpg ['-0.2300286720', '10.4894703800', '0.0552325310', '2.2689567270', '0.0360492550', '-4.6264858400', '42.2849627700', '-3.0096837750'] -0.11512932022222222
train\32\Im_B31\16.jpg ['-0.5411311840', '10.4828820600', '0.0561972600', '2.2959252880', '0.0361218530', '-4.5957042890', '41.7590670800', '-3.0398940810'] -0.126115816
train\32\Im_B31\17.jpg ['-0.8258578370', '10.4762976800', '0.0574547830', '2.3233068730', '0.0364292340', '-4.5642622470', '41.2328189600', '-3.0794214020'] -0.12977798122222223
train\32\Im_B31\18.jpg ['-1.0773957310', '10.4697163100', '0.0589247540', '2.3514021450', '0.0369534470', '-4.5321754360', '40.7063171200', '-3.1262823240'] -0.12977798122222223
train\32\Im_B31\19.jpg ['-1.2833547290', '10.4631363800', '0.0605214930', '2.3804482250', '0.0376660720', '-4.4994962240', '40.1796979900', '-3.1780741310'] -0.12977798122222223
train\32\Im_B31\20.jpg ['-1.4310611960', '10.4565565500', '0.0621567450', '2.4106040130', '0.0385276990', '-4.4663120030', '39.6531100200', '-3.2324258210'] -0.12977798122222223
train\32\Im_B31\21.jpg ['-1.5192003690', '10.4499766800', '0.0637513030', '2.4419649470', '0.0394976690', '-4.4327243360', '39.1266772900', '-3.2875060540'] -0.12977798122222223
train\32\Im_B31\22.jpg ['-1.5600712220', '10.4433974400', '0.0652473990', '2.4745830730', '0.0405457940', '-4.3988290960', '38.6004830100', '-3.3421782510'] -0.12977798122222223
train\32\Im_B31\23.jpg ['-1.5708966400', '10.4368194800', '0.0666123290', '2.5084744810', '0.0416564260', '-4.3647112790', '38.0745708800', '-3.3958991500'] -0.12977798122222223
train\32\Im_B31\24.jpg ['-1.5670606090', '10.4302432000', '0.0678351760', '2.5436255870', '0.0425676830', '-4.3264802250', '37.5489557400', '-3.4485182020'] -0.12977798122222223
train\32\Im_B31\25.jpg ['-1.5591391250', '10.4236687500', '0.0689203840', '2.5800009010', '0.0437450510', '-4.2914550470', '37.0236366200', '-3.5000800960'] -0.12977798122222223
train\32\Im_B31\26.jpg ['-1.5526049130', '10.4170961800', '0.0698810340', '2.6175513440', '0.0449989300', '-4.2564309630', '36.4986073500', '-3.5506825340'] -0.126115816
train\32\Im_B31\27.jpg ['-1.5490527170', '10.4105255400', '0.0704582040', '2.6601818340', '0.0463383800', '-4.2214353910', '35.9738693400', '-3.6003310160'] -0.11940184633333334
train\32\Im_B31\28.jpg ['-1.5458732960', '10.4039564400', '0.0709719980', '2.7015411760', '0.0477686720', '-4.1864824760', '35.4494556200', '-3.6486893240'] -0.1157396811111111
train\32\Im_B31\29.jpg ['-1.5329244060', '10.3973882600', '0.0713930700', '2.7438687510', '0.0492846360', '-4.1515865700', '34.9254265300', '-3.6951701070'] -0.11436636911111112
train\32\Im_B31\30.jpg ['-1.5021890980', '10.3908213900', '0.0717203900', '2.7870611930', '0.0508725650', '-4.1167564320', '34.4018261300', '-3.7394131550'] -0.11390859844444444
train\32\Im_B31\31.jpg ['-1.4596866950', '10.3842568000', '0.0719579050', '2.8310295070', '0.0525225930', '-4.0819742800', '33.8786617600', '-3.7814576030'] -0.11116197455555556
train\32\Im_B31\32.jpg ['-1.4171542890', '10.3776950100', '0.0705660470', '2.8824862090', '0.0542337670', '-4.0471978800', '33.3559161500', '-3.8215731440'] -0.10505836575555555
train\32\Im_B31\33.jpg ['-1.3818902870', '10.3711357100', '0.0720839810', '2.9215108050', '0.0711741380', '-4.0931769560', '32.8335827500', '-3.8598977680'] -0.09864957656666667
train\32\Im_B31\34.jpg ['-1.3502093150', '10.3645780900', '0.0737191400', '2.9604257250', '0.0728427890', '-4.0554102610', '32.3116876000', '-3.8962531360'] -0.09514000152222223
train\32\Im_B31\35.jpg ['-1.3121977960', '10.3580217600', '0.0754311440', '2.9993925120', '0.0745839380', '-4.0175136600', '31.7902708600', '-3.9303527410'] -0.09407186998888889
train\32\Im_B31\36.jpg ['-1.2639825650', '10.3514672300', '0.0771685840', '3.0386092490', '0.0763379270', '-3.9792321480', '31.2693508100', '-3.9621329800'] -0.0901045243
train\32\Im_B31\37.jpg ['-1.2123421830', '10.3449152300', '0.0788811550', '3.0783131350', '0.0780524670', '-3.9403165240', '30.7489179800', '-3.9917760220'] -0.07942320897777777
train\32\Im_B31\38.jpg ['-1.1653321630', '10.3383657200', '0.0805250900', '3.1187501760', '0.0796880110', '-3.9005512330', '30.2289788700', '-4.0193077260'] -0.06843671321111111
train\32\Im_B31\39.jpg ['-1.1179333650', '10.3318177500', '0.0820567720', '3.1601140800', '0.0812098750', '-3.8597974090', '29.7095940400', '-4.0442994960'] -0.06370641642222222
train\32\Im_B31\40.jpg ['-1.0544781470', '10.3252709000', '0.0834281740', '3.2025037080', '0.0825812340', '-3.8180131970', '29.1908382000', '-4.0662455030'] -0.05928130006666667
train\32\Im_B31\41.jpg ['-0.9714101710', '10.3187260300', '0.0844883650', '3.2463725780', '0.0837743610', '-3.7752225970', '28.6727377300', '-4.0850666680'] -0.04646372167777778
train\32\Im_B31\42.jpg ['-0.8828856110', '10.3121838500', '0.0858041830', '3.2893946050', '0.0847221860', '-3.7312626650', '28.1552947400', '-4.1008716290'] -0.02876325627777778
train\32\Im_B31\43.jpg ['-0.7954711550', '10.3056438400', '0.0858178300', '3.3450865770', '0.0859067670', '-3.6880475490', '27.6385612100', '-4.1133681920'] -0.003280689711111111
train\32\Im_B31\44.jpg ['-0.6945834780', '10.2991053900', '0.0869512330', '3.3906655800', '0.0870095130', '-3.6443737300', '27.1226605200', '-4.1217434460'] 0.025101091022222223
train\32\Im_B31\45.jpg ['-0.5600137540', '10.2925685100', '0.0880723740', '3.4356043120', '0.0879912400', '-3.6002957190', '26.6077856000', '-4.1247202520'] 0.05256733043333333
train\32\Im_B31\46.jpg ['-0.3720572390', '10.2860342400', '0.0890919180', '3.4799637260', '0.0891281620', '-3.5518103420', '26.0941450400', '-4.1209786950'] 0.07927061875555556
train\32\Im_B31\47.jpg ['-0.1259190350', '10.2795041900', '0.0899222820', '3.5237671970', '0.0896692740', '-3.5060466160', '25.5818986400', '-4.1096013130'] 0.10383764401111112
train\32\Im_B31\48.jpg ['0.1658156330', '10.2729794800', '0.0904939960', '3.5670227950', '0.0898895600', '-3.4602621940', '25.0711274200', '-4.0902344250'] 0.12230106055555555
train\32\Im_B31\49.jpg ['0.4828607180', '10.2664604000', '0.0907622960', '3.6097308940', '0.0897560640', '-3.4145484110', '24.5618210900', '-4.0631311430'] 0.13481345844444445
train\32\Im_B31\50.jpg ['0.8014033030', '10.2599462600', '0.0907091210', '3.6518986650', '0.0892672670', '-3.3690299040', '24.0538691200', '-4.0291846180'] 0.14534218355555556
train\32\Im_B31\51.jpg ['1.0943539910', '10.2534354900', '0.0906502810', '3.6920154420', '0.0883618100', '-3.3234537390', '23.5470868300', '-3.9897330600'] 0.15678645
train\32\Im_B31\52.jpg ['1.3408771990', '10.2469267300', '0.0907732980', '3.7294735880', '0.0876318890', '-3.2802549840', '23.0412787500', '-3.9461310410'] 0.17082475011111112
train\32\Im_B31\53.jpg ['1.5372281980', '10.2404197200', '0.0909209780', '3.7653227960', '0.0868355640', '-3.2382014260', '22.5362985600', '-3.8993640860'] 0.18287937744444444
train\32\Im_B31\54.jpg ['1.6966528710', '10.2339152500', '0.0910923200', '3.7998076560', '0.0860116920', '-3.1973399240', '22.0320705000', '-3.8499311010'] 0.18287937744444444
train\32\Im_B31\55.jpg ['1.8390744830', '10.2274137500', '0.0912471410', '3.8332597310', '0.0851795530', '-3.1577092470', '21.5285379000', '-3.7982091710'] 0.18287937744444444
train\32\Im_B31\56.jpg ['1.9694341480', '10.2209130100', '0.0913203610', '3.8661120140', '0.0843513140', '-3.1193106380', '21.0255905800', '-3.7449346750'] 0.179064622
train\32\Im_B31\57.jpg ['2.0703333150', '10.2144109900', '0.0912467200', '3.8988960410', '0.0835509010', '-3.0820774950', '20.5230944200', '-3.6909866130'] 0.16975661855555557
train\32\Im_B31\58.jpg ['2.1328689020', '10.2079072800', '0.0909602920', '3.9321524230', '0.0828058140', '-3.0459088040', '20.0209037100', '-3.6373062850'] 0.1673151751111111
train\32\Im_B31\59.jpg ['2.1509874690', '10.2014015600', '0.0874996600', '3.9865203670', '0.0821435840', '-3.0106604290', '19.5188799800', '-3.5847746010'] 0.1673151751111111
train\32\Im_B31\60.jpg ['2.1243007330', '10.1948956900', '0.0842361790', '4.0375022270', '0.0815857920', '-2.9761513910', '19.0169590700', '-3.5337765430'] 0.16350041966666667
train\32\Im_B31\61.jpg ['2.0749078490', '10.1883922500', '0.0819025030', '4.0827343620', '0.0811426480', '-2.9422553050', '18.5151450100', '-3.4842619300'] 0.150530251
train\32\Im_B31\62.jpg ['2.0241042380', '10.1818914700', '0.0798011840', '4.1259019180', '0.0807556860', '-2.9087134270', '18.0134433300', '-3.4361837270'] 0.13679713133333332
train\32\Im_B31\63.jpg ['1.9719186920', '10.1753911400', '0.0779692330', '4.1668646030', '0.0804032900', '-2.8753572220', '17.5118075500', '-3.3898249530'] 0.12657358666666668
train\32\Im_B31\64.jpg ['1.9001441850', '10.1688899700', '0.0764630040', '4.2055256040', '0.0800603420', '-2.8419436820', '17.0101707700', '-3.3455743200'] 0.12108033877777778
train\32\Im_B31\65.jpg ['1.8008868840', '10.1623892800', '0.0753495230', '4.2417890900', '0.0797077230', '-2.8082498490', '16.5084990800', '-3.3035896360'] 0.11879148544444446
train\32\Im_B31\66.jpg ['1.6846754420', '10.1558912600', '0.0746906470', '4.2755269730', '0.0765965020', '-2.7591982790', '16.0068180700', '-3.2636519230'] 0.11665522244444444
train\32\Im_B31\67.jpg ['1.5721034770', '10.1493972600', '0.0745320710', '4.3065856520', '0.0751063850', '-2.7186197620', '15.5052002300', '-3.2252657090'] 0.11497673
train\32\Im_B31\68.jpg ['1.4803211650', '10.1429072500', '0.0749008370', '4.3348348430', '0.0738020300', '-2.6790828920', '15.0037306300', '-3.1878787320'] 0.11497673
train\32\Im_B31\69.jpg ['1.4147910680', '10.1364205600', '0.0758068950', '4.3602386990', '0.0726698960', '-2.6405885060', '14.5024860300', '-3.1510025800'] 0.11497673
train\32\Im_B31\70.jpg ['1.3736160050', '10.1299367700', '0.0772623660', '4.3828161450', '0.0717164640', '-2.6031877220', '14.0015295100', '-3.1142353650'] 0.11497673
train\32\Im_B31\71.jpg ['1.3527888370', '10.1234556200', '0.0791768650', '4.4030714920', '0.0708994100', '-2.5667928240', '13.5009046700', '-3.0772884260'] 0.11497673
train\32\Im_B31\72.jpg ['1.3456886040', '10.1169768600', '0.0814617970', '4.4216582700', '0.0702404510', '-2.5314684980', '13.0006364900', '-3.0399731160'] 0.11863889522222222
train\32\Im_B31\73.jpg ['1.3456380130', '10.1105003600', '0.0839392290', '4.4396627330', '0.0697464900', '-2.4972170440', '12.5007422100', '-3.0021353740'] 0.13115129322222221
train\32\Im_B31\74.jpg ['1.3497981460', '10.1040264700', '0.0863503210', '4.4585257100', '0.0694281480', '-2.4640403660', '12.0012619300', '-2.9634906630'] 0.13603418022222222
train\32\Im_B31\75.jpg ['1.3674680020', '10.0975564900', '0.0883610310', '4.4798730060', '0.0692860700', '-2.4319483680', '11.5022713300', '-2.9235720860'] 0.13664454111111113
train\32\Im_B31\76.jpg ['1.4134975750', '10.0910902000', '0.0714047140', '4.6111705110', '0.0693048350', '-2.4009580590', '11.0038160900', '-2.8820846520'] 0.13664454111111113
train\32\Im_B31\77.jpg ['1.4762031460', '10.0846258800', '0.0674066060', '4.6694934890', '0.0694756160', '-2.3710333300', '10.5058909600', '-2.8389807320'] 0.14045929655555556
train\32\Im_B31\78.jpg ['1.5351890760', '10.0781624200', '0.0634908350', '4.7257761990', '0.0698022190', '-2.3420837170', '10.0084672400', '-2.7942938510'] 0.15785458155555557
train\32\Im_B31\79.jpg ['1.5803625700', '10.0717003000', '0.0597433840', '4.7796714660', '0.0702894140', '-2.3139798190', '9.5115461910', '-2.7478718590'] 0.20927748533333335
train\32\Im_B31\80.jpg ['1.6237638550', '10.0652422200', '0.0561575350', '4.8310543640', '0.0709225420', '-2.2865916960', '9.0152438180', '-2.6989956650'] 0.2532234683333333
train\32\Im_B31\81.jpg ['1.7160858110', '10.0587953400', '0.0528007970', '4.8792421200', '0.0716299500', '-2.2598495290', '8.5198362000', '-2.6462313610'] 0.26146334022222223
train\32\Im_B31\82.jpg ['1.9330433330', '10.0523646400', '0.0496571470', '4.9234130200', '0.0722511800', '-2.2337558430', '8.0255568820', '-2.5884120690'] 0.26146334022222223
train\32\Im_B31\83.jpg ['2.2630184180', '10.0459428200', '0.0467280830', '4.9628064060', '0.0726145870', '-2.2082232250', '7.5323976110', '-2.5254321100'] 0.26146334022222223
train\32\Im_B31\84.jpg ['2.6024020000', '10.0395170000', '0.0440970320', '4.9969801530', '0.0726157030', '-2.1829644880', '7.0401683990', '-2.4578249230'] 0.2616159304444444
train\32\Im_B31\85.jpg ['2.8682007920', '10.0330820900', '0.0419166450', '5.0256637680', '0.0722079130', '-2.1576356810', '6.5486341070', '-2.3861170220'] 0.2616159304444444
train\32\Im_B31\86.jpg ['3.0323449130', '10.0266405900', '0.0403696360', '5.0486158680', '0.0713702590', '-2.1319631210', '6.0576049030', '-2.3104549430'] 0.2616159304444444
train\32\Im_B31\87.jpg ['3.1059249130', '10.0201969000', '0.0396338160', '5.0656006380', '0.0585108950', '-2.0575594970', '5.5669714090', '-2.2304776340'] 0.2616159304444444
train\32\Im_B31\88.jpg ['3.1181674540', '10.0137539000', '0.0398519730', '5.0764692700', '0.0552010960', '-2.0227353450', '5.0767021610', '-2.1453193930'] 0.2616159304444444
train\32\Im_B31\89.jpg ['3.1005043400', '10.0073125900', '0.0411052640', '5.0812889010', '0.0520402710', '-1.9897946690', '4.5868218000', '-2.0536480180'] 0.2616159304444444
train\32\Im_B31\90.jpg ['3.0766836930', '10.0008727900', '0.0433738780', '5.0806001190', '0.0490486960', '-1.9587462060', '4.1646573650', '-1.9857392210'] 0.2616159304444444
train\32\Im_B31\91.jpg ['3.0593747220', '9.9944340950', '0.0464847220', '5.0756983750', '0.0462397080', '-1.9296091900', '3.8743603510', '-1.9788158570'] 0.263447013
train\32\Im_B31\92.jpg ['3.0517098680', '9.9879963850', '0.0500809440', '5.0687390180', '0.0436246240', '-1.9024020860', '3.5801383310', '-1.9719290980'] 0.2695506217777778
train\32\Im_B31\93.jpg ['3.0521680620', '9.9815603990', '0.0536211410', '5.0626481960', '0.0412175940', '-1.8771470310', '3.2823614610', '-1.9650915510'] 0.2762645914444445
train\32\Im_B31\94.jpg ['3.0623390520', '9.9751280580', '0.0512423130', '5.0917048360', '0.0390345850', '-1.8538829170', '2.9813738200', '-1.9582737100'] 0.2768749523333333
train\32\Im_B31\95.jpg ['3.0887705020', '9.9687006180', '0.0478843060', '5.1249789050', '0.0370894580', '-1.8326699300', '2.6775090130', '-1.9514620760'] 0.2832837415555555
train\32\Im_B31\96.jpg ['3.1303600980', '9.9622762040', '0.0450888640', '5.1533643080', '0.0354001570', '-1.8135632180', '2.3710879460', '-1.9447161480'] 0.3072404058888889
train\32\Im_B31\97.jpg ['3.1758651500', '9.9558543230', '0.0429414870', '5.1765419670', '0.0339967140', '-1.7965896370', '2.0624053530', '-1.9380319680'] 0.31471732666666663
train\32\Im_B31\98.jpg ['3.2364480520', '9.9494408190', '0.0415035300', '5.1942818380', '0.0329000220', '-1.7817950040', '1.7517509470', '-1.9312757770'] 0.31471732666666663
